id,author_id,is_private,name,description
72a464ec-98fe-4104-8bd3-098dff898d9f,f9c98456-1deb-40de-a5f0-9b7213b7a468,FALSE,Bytecard,Synergized logistical monitoring#Open-source #Right-sized#hybrid
0d363f12-c3cf-4483-b6e2-86e56c8e10bb,dcd3ac7e-fbe5-4d25-815a-8f1568f9f271,FALSE,Zaam-Dox,Persistent optimal database #superstructure #upward-trending #fresh-thinking
0d8ea2c3-2c87-49be-a67c-aee46c8abce5,3e545056-f9e5-444f-94ec-5ca0f3185fe3,FALSE,Redhold,Diverse value-added capability #Inverse#Secured #impactful
4537e9b2-6c89-42b6-850b-5437fa7d31c7,2f0f7781-738f-491f-a794-753f58788521,FALSE,Tempsoft,Right-sized grid-enabled alliance #Devolved #interface
ba293ec4-535c-4bf7-87f1-c46194d96dbc,58d1c6bd-edb1-468f-bd36-7e96cd2f7553,FALSE,Alphazap,Implemented exuding analyzer#parallelism #Inverse  #heuristic
478cef51-7b62-4f61-bfe2-6901309f1b8b,5a4dbcae-9c5d-491b-8add-90358977d824,FALSE,Namfix,Right-sized stable concept#secured line #success
a9fc045c-922f-460a-b33a-9da0eb9d94bf,95b101a3-01a4-4bae-91f5-a4c39bf3e2d1,FALSE,Veribet,Self-enabling reciprocal instruction set#exuding
d345cb50-4333-465a-bdaf-88357912db72,0334cf00-a7d6-4e23-bf52-656659607672,FALSE,Cookley,Team-oriented multi-tasking functionalities #Adaptive#analyzing#definition
5a10e4ea-e363-4b66-a6c7-6dafd756dc32,76b07f63-2616-4fda-8392-8ab81dc29378,FALSE,Y-Solowarm,Secured secondary open architecture#adapter#Cross-group #frame
754ab067-3efc-46c8-9dc3-37ef1a4d4ffd,1ece4f13-67b0-4669-a216-5ee5e25d689e,FALSE,Ventosanzap,Operative optimizing local area network #transitional  #orchestration
ba48d6a9-9edb-4809-ae2f-5bc97839db42,59b335b2-bd58-481e-a5b1-78f696b69739,FALSE,Wrapsafe,Configurable full-range implementation #Polarised #strategy
1f115003-b81d-4360-b99c-62d800af880d,e3ba6d54-c443-4a0c-b2a1-0e98b7e601fd,FALSE,Voyatouch,Open-source high-level Graphic Interface #Profit-focused  #Ergonomic
fdf00fb5-f9a0-4f23-8442-f39d32217a4f,5f6fb339-9cd9-40fc-9430-c046d7d6220e,FALSE,Sonair,Cross-platform analyzing hierarchy #time-frame #coherent #artificial intelligence
ff6f8e63-d11b-40ad-a927-cd2026dbf709,95ae4dab-6640-4e24-a725-694fe18f7c01,FALSE,Bytecard,Balanced hybrid software #encryption #Front-line #product
3fc70f9a-7e2b-4e70-85be-118fa7a884bd,a767594c-c2f0-4fa3-843a-2f79e33af12c,FALSE,Domainer,De-engineered discrete encoding #directional #Down-sized #encryption #Horizontal
4a293283-864c-476a-9079-f91838180433,ac535ac2-6112-4a5e-ab00-1fec4bc3cf96,FALSE,Flexidy,Robust maximized Graphic Interface #instruction set #Team-oriented
04392141-aad4-405e-9b43-cb2cddd0128d,bde82bb0-ce43-4f85-bede-f69a041f7059,FALSE,Sub-Ex,Pre-emptive maximized artificial intelligence #upward-trending #flexibility #asynchronous
e2ccb37c-b8a6-4d3c-aa6d-33a6cb064735,4e56dd55-e4e5-4b23-a0f5-3cd04f99fef5,FALSE,Hatity,Profit-focused non-volatile productivity #Balanced #Extended #time-frame #Adaptive
fec4a5df-5cec-4e0e-bb52-f1fecf35d588,8c5df4ad-096b-4a58-b16c-e3e26d6cc4ae,FALSE,Zamit,Sharable background toolset #conglomeration #data-warehouse #5th generation
232381ee-430f-4798-8502-b96ee1c87a30,93a34cb5-37a5-42d8-8b39-c25fada8ff63,FALSE,Y-Solowarm,Adaptive motivating artificial intelligence #content-based #Persistent #core
ff34146a-50a3-4bb0-8c28-c6053e14112f,41060d73-8ef6-42ea-b8e7-3dcf7e131fd6,FALSE,Sub-Ex,Cloned actuating complexity#user-facing#intangible
2a17e001-fbca-4570-92c4-100a0e67196d,c22938a6-5662-4c72-aa1b-558faf3889fd,FALSE,Fix San,Reverse-engineered didactic productivity #Horizontal #challenge
47eafff7-9c94-4fc2-b05b-3d19d0e476cc,ffb70851-e7ef-404a-bddc-25956b74b38b,FALSE,Zaam-Dox,Multi-tiered clear-thinking application#Mandatory #core
da50ad57-d5f4-43e0-95a6-514ae98d6cca,7911c685-27d9-4d95-a02e-daeeba69adf6,FALSE,Fixflex,Optional web-enabled benchmark#website #hybrid
2ef8448c-bdd2-4804-a063-5b716a4b68cd,edd10c9b-90d1-4b55-82e7-d90940f43008,FALSE,Fintone,Reactive neutral process improvement #Multi-layered#Universal
bb0e6e9c-a045-4cfc-ae22-00aec627f9fc,491205c2-bee3-4d17-a313-5cbd6c630701,FALSE,Y-Solowarm,User-friendly real-time solution #Profit-focused#forecast#client-server
a5870594-fa87-4fa6-b39a-de614222f6fa,fbd234ba-4b10-4cf6-bbb1-0cb22007e890,FALSE,Duobam,Reduced 24 hour solution #human-resource #functionalities#moderator
442e038b-804f-424a-8301-13a7a0216809,a7bc44ef-e9f1-42aa-b655-30ceb5f6bfca,FALSE,Zamit,Programmable 4th generation data-warehouse #artificial intelligence #Proactive
7e2b945a-b51a-4f4c-afcc-ffe5bbb1de43,d899a8ae-9cbe-42fd-819e-f95598aade14,FALSE,Otcom,Distributed neutral artificial intelligence #asynchronous #dynamic
ec6e770b-f5ab-40d7-ba4e-0846dc16b369,d4297cd8-ef38-439e-b43a-4398bcaaa234,FALSE,Konklux,Profit-focused foreground definition #local #homogeneous
ca4964ad-aed2-43c9-8a16-f96279488f84,a1f3edb9-ae79-4a88-a796-f85ccf563ed6,FALSE,Bytecard,Balanced zero defect conglomeration #throughput #multi-tasking
42ce121f-94d3-4866-9fb7-92f1cf21e10f,4e56dd55-e4e5-4b23-a0f5-3cd04f99fef5,FALSE,Bitchip,Business-focused upward-trending open architecture #Seamless #24 hour
6c333cbc-464d-41df-9c5f-ec6228bc7db9,ce04cc97-7b91-49e7-bddf-9a6fc6749741,FALSE,Trippledex,Triple-buffered multi-state benchmark #Ergonomic#synergy #archive
baff9652-9a25-48bc-87dd-2c733e44bcc5,2207f2e4-464f-4814-a9c3-1a3458c7b548,FALSE,Gembucket,Enterprise-wide systematic budgetary management #approach #throughput #object-oriented
4900aa34-1654-42da-9336-10157c5ba36e,3c6f3a62-eb86-4f6e-8516-5a7c208bdd9e,FALSE,Matsoft,Cross-group high-level protocol #capability #Switchable
d54839cd-3b9c-42fb-b4cb-a5c017b6d003,1df72643-717b-49e4-afdd-4cbd92ab6590,FALSE,Veribet,Enterprise-wide scalable support #architecture #array
e9a76b1a-cc77-4ea7-a790-6ac375ee9fac,ba109e30-b92e-4d27-a304-9792b4bf182b,FALSE,Alpha,Synergized tangible knowledge user #orchestration#Synergistic
15e7de29-ce7a-4616-9a3e-df3ee1423f2f,402f2b17-f7cc-47c8-812a-9c36a1a02816,FALSE,Keylex,Future-proofed uniform strategy #static#secondary#Synergistic
cfd998f3-c5e1-453c-9c67-1479d5f901fa,9e2b06ae-48ac-4dee-a63a-8981674e065b,FALSE,Tres-Zap,Multi-channelled hybrid solution #disintermediate #User-friendly #composite
8b5d0ab1-a1a1-4284-bc83-f2b25f04ac9f,0bad2236-99a5-4359-8591-009fa6498a81,FALSE,Fix San,Secured contextually-based strategy#scalable  #Robust
107b7e44-0883-4f6b-90b7-3ad8ff9c7e73,36265f85-caa3-47fc-a0a0-0e8ebbe767df,FALSE,Pannier,Open-source cohesive benchmark #multimedia #project
5e7a4c34-ba83-4455-9dbf-da408b07458f,df36b6cb-3160-45a2-a896-877a7ce6e006,FALSE,Konklab,Customizable client-server definition #6th generation
